epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.3339,1.00492,1.05166,0.89866,0.81123,0.85905,0.89272,0.67314,0.86279,0.77413,0.87436,0.000663889,0.000663889,0.000663889
2,76.2222,0.93698,0.64873,0.8882,0.86182,0.80424,0.89035,0.66007,0.93403,0.65464,0.89116,0.00130421,0.00130421,0.00130421
3,111.078,0.92722,0.59093,0.88512,0.89518,0.81413,0.92081,0.67901,0.89986,0.60502,0.88288,0.00191813,0.00191813,0.00191813
4,145.997,0.89504,0.54995,0.87565,0.86296,0.86763,0.92321,0.68026,0.92727,0.62571,0.89396,0.0018812,0.0018812,0.0018812
5,180.133,0.87888,0.5144,0.87667,0.87769,0.83421,0.91749,0.69923,0.90939,0.58622,0.8951,0.0018416,0.0018416,0.0018416
6,214.661,0.85876,0.49438,0.87458,0.8726,0.81504,0.9125,0.68221,0.89662,0.61512,0.89241,0.001802,0.001802,0.001802
7,250.23,0.85014,0.48599,0.87313,0.88011,0.82072,0.91261,0.67137,0.96063,0.60198,0.89769,0.0017624,0.0017624,0.0017624
8,285.434,0.84535,0.46941,0.86903,0.86787,0.8035,0.88831,0.67327,0.92121,0.60485,0.894,0.0017228,0.0017228,0.0017228
9,320.257,0.83165,0.46103,0.86797,0.89193,0.86893,0.93948,0.72121,0.89586,0.52969,0.8894,0.0016832,0.0016832,0.0016832
10,354.534,0.8278,0.45026,0.86556,0.89248,0.86532,0.93453,0.70467,0.87866,0.54558,0.88608,0.0016436,0.0016436,0.0016436
11,389.39,0.8183,0.44534,0.86251,0.8807,0.81687,0.91667,0.70259,0.9082,0.55049,0.89796,0.001604,0.001604,0.001604
12,423.331,0.8181,0.43712,0.86299,0.87332,0.82744,0.91486,0.72039,0.8335,0.53998,0.88184,0.0015644,0.0015644,0.0015644
13,455.435,0.81171,0.43429,0.86016,0.86613,0.87517,0.92725,0.71063,0.9158,0.55691,0.89518,0.0015248,0.0015248,0.0015248
14,487.44,0.80031,0.42804,0.85936,0.85183,0.8059,0.89214,0.69589,0.88478,0.5927,0.89571,0.0014852,0.0014852,0.0014852
15,520.494,0.79805,0.42537,0.85887,0.85748,0.8666,0.91849,0.69559,0.93028,0.57344,0.89552,0.0014456,0.0014456,0.0014456
16,553.163,0.79079,0.42025,0.85819,0.89547,0.87545,0.94356,0.71236,0.92785,0.52981,0.90374,0.001406,0.001406,0.001406
17,585.149,0.78485,0.4137,0.85576,0.90676,0.83402,0.93108,0.70548,0.92835,0.53145,0.89905,0.0013664,0.0013664,0.0013664
18,618.155,0.77365,0.40711,0.85295,0.86768,0.8546,0.92074,0.69121,0.98176,0.56898,0.91824,0.0013268,0.0013268,0.0013268
19,653.319,0.78173,0.40881,0.85566,0.87727,0.85793,0.92707,0.71571,0.90107,0.5321,0.89564,0.0012872,0.0012872,0.0012872
20,690.872,0.76863,0.40058,0.85314,0.8878,0.85185,0.91917,0.70281,0.92662,0.54338,0.90396,0.0012476,0.0012476,0.0012476
21,728.45,0.76887,0.39872,0.85264,0.88236,0.83336,0.91794,0.70648,0.89362,0.54417,0.89516,0.001208,0.001208,0.001208
22,772.069,0.76302,0.39391,0.85054,0.85372,0.82656,0.89451,0.6893,0.90036,0.57937,0.89882,0.0011684,0.0011684,0.0011684
23,810.907,0.757,0.3903,0.85232,0.88568,0.82362,0.90794,0.70009,0.93282,0.56328,0.91115,0.0011288,0.0011288,0.0011288
24,844.607,0.75194,0.38831,0.84854,0.88961,0.8203,0.90076,0.69103,0.91039,0.55759,0.9057,0.0010892,0.0010892,0.0010892
25,877.778,0.74683,0.38567,0.84936,0.89346,0.84552,0.91783,0.70093,0.9166,0.54191,0.90452,0.0010496,0.0010496,0.0010496
26,914.84,0.74534,0.3821,0.84877,0.89507,0.83882,0.91815,0.71752,0.87925,0.53514,0.89901,0.00101,0.00101,0.00101
